id,requirement_text,project,requirement_category,risk_type,probability,risk_magnitude,risk_impact,risk_dimension,requirement_affected,fixing,fix,fix_priority,req_aff_fix_affects
47,The system shall enable user to select the shipping method during payment process.,Transaction Processing System,Functional,FunctionalValidity,45,Medium,high,Requirements,5,7,5,51.438462,3
48,The system shall display the shipping charges.,Transaction Processing System,Functional,FunctionalValidity,79,Medium,moderate,Requirements,2,6,3,72.861538,4
49,The system shall display tentative duration for shipping.,Transaction Processing System,Functional,Budget,98,Very High,high,planning and control,1,8,6,90.776923,5
50,The system shall allow user to enter the order information for tracking.,Transaction Processing System,Functional,Schedule,67,Medium,Low,Project complexity,3,6,4,65.023077,4
51,The system shall display the current tracking information about the order.,Transaction Processing System,Functional,Personal,54,Very Low,moderate,Project complexity,2,5,4,53.138462,3
52,The system shall calculate tax for the order,Transaction Processing System,Functional,Budget,32,Very High,high,Project complexity,4,9,5,42.407692,3
53,The system shall display tax information for the order,Transaction Processing System,Functional,Budget,54,Medium,moderate,Project complexity,1,7,3,53.638462,3
54,The system shall display available payment methods for payment.,Transaction Processing System,Functional,Performance,65,High,high,planning and control,5,6,4,65.307692,4
55,The system shall allow user to select the payment method for order,Transaction Processing System,Functional,Budget,76,Medium,moderate,planning and control,3,9,2,72.776923,4
56,The system shall display the orders that are eligible to change.,Transaction Processing System,Functional,FunctionalValidity,34,Low,Low,Requirements,2,5,1,35.630769,2
57,The system shall allow user to select the order to be changed.,Transaction Processing System,Functional,FunctionalValidity,67,Medium,moderate,Requirements,3,5,1,62.092308,4
58,The system shall allow user to cancel the order,Transaction Processing System,Functional,FunctionalValidity,23,Low,Low,User,1,7,2,28.453846,2
59,The system shall allow user to change shipping payment method.,Transaction Processing System,Functional,FunctionalValidity,78,Medium,High,Requirements,3,6,4,73.746154,4
60,The system shall notify the user about any changes made to the order.,Transaction Processing System,Functional,Schedule,45,High,high,Requirements,2,4,2,44.638462,3
61,The system shall display the reviews and ratings of each product when it is selected.,Transaction Processing System,Functional,Performance,34,Medium,moderate,Project complexity,5,5,5,41.323077,3
62,The system shall enable the user to enter their reviews and ratings.,Transaction Processing System,Functional,Performance,23,Low,Low,Requirements,3,7,1,29.438462,2
63,The system shall display all the available financing options.,Transaction Processing System,Functional,Performance,65,Very High,high,Requirements,5,8,4,66.976923,4
64,The system shall allow user to select the financing option.,Transaction Processing System,Functional,FunctionalValidity,45,High,moderate,User,4,4,2,45.8,2
65,The system shall notify the use about the financing request.,Transaction Processing System,Functional,FunctionalValidity,45,Low,moderate,Estimations,5,5,1,46.646154,3
66,The system shall allow user to view detailed sitemap.,Transaction Processing System,Functional,Quality,60,High,Low,Software Requirement,6,6,2,60.369231,4
67,The system shall display all the available promotions to the user.,Transaction Processing System,Functional,Personal,55,High,moderate,User,5,3,1,52.384615,3
68,The system shall allow user to select available promotion.,Transaction Processing System,Functional,Quality,55,Medium,high,Team,4,2,4,53.576923,3
69,The system shall allow user to confirm the purchase.,Transaction Processing System,Functional,Quality,65,High,moderate,Planning and Control,3,5,2,61.276923,4
70,The system shall enable user to enter the payment information.,Transaction Processing System,Functional,Performance,43,Low,moderate,Estimations,2,4,2,42.761538,3
71,The system shall provide a uniform look and feel between all the web pages.,Transaction Processing System,Usability,Quality,64,Medium,high,Planning and Control,2,3,1,57.353846,3
72,The system shall provide a digital image for each product in the product catalog.,Transaction Processing System,Usability,Schedule,55,Medium,moderate,Schedule,6,6,1,55.846154,3
73,The system shall provide use of icons and toolbars.,Transaction Processing System,Usability,Personal,32,Low,moderate,Estimations,4,4,1,34.692308,2
74,The system shall provide handicap access.,Transaction Processing System,Usability,Budget,43,Low,moderate,Schedule,5,2,1,42.615385,3
75,The system shall provide multi language support.,Transaction Processing System,Usability,Performance,23,Low,moderate,Cost,2,3,1,25.723077,2
76,The system shall provide storage of all databases on redundant computers with automatic switchover.,Transaction Processing System,Reliability & Availability,FunctionalValidity,76,Very High,moderate,Planning and Control,1,5,1,67.461538,4
77,The system shall provide for replication of databases to off-site storage locations.,Transaction Processing System,Reliability & Availability,Schedule,43,Low,Low,Team,5,4,1,43.884615,3
78,The system shall provide RAID V Disk Stripping on all database storage disks.,Transaction Processing System,Reliability & Availability,Quality,37,Medium,high,Team,1,5,0,36.5,2
79,The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999\% availability.,Transaction Processing System,Reliability & Availability,Personal,75,Medium,catastrophic,Estimations,3,6,0,68.069231,4
80,The system shall provide a contractual agreement with an internet service provider who can provide 99.999\% availability through their network facilities onto the internet.,Transaction Processing System,Reliability & Availability,Budget,31,Low,high,Software Requirement,4,5,0,34.215385,2
81,The product shall be based on web and has to be run from a web server.,Transaction Processing System,Performance,Performance,9,Negligible,moderate,User,1,4,0,13.569231,1
82,The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run,Transaction Processing System,Performance,Personal,10,Negligible,moderate,Planning and Control,5,7,1,20.392308,2
83,The 0.6 shall depend upon hardware components of the client/customer.,Transaction Processing System,Performance,Quality,21,Very Low,moderate,Project Complexity,1,3,0,22.369231,2
84,The system shall use secure sockets in all transactions that include any confidential customer information.,Transaction Processing System,Security,Performance,26,Very Low,Low,Schedule,3,4,0,28.376923,2
85,The system shall automatically log out all customers after a period of inactivity.,Transaction Processing System,Security,Performance,36,Low,moderate,Schedule,4,2,0,35.569231,2
86,The system shall confirm all transactions with the customer�s web browser.,Transaction Processing System,Security,FunctionalValidity,47,Low,insignificant,Cost,1,1,0,40.684615,3
87,The system shall not leave any cookies on the customer�s computer containing the user�s password.,Transaction Processing System,Security,Personal,57,Medium,high,Schedule,3,4,0,52.423077,3
88,The system shall not leave any cookies on the customer�s computer containing any of the user�s confidential information.,Transaction Processing System,Security,Quality,54,Medium,Low,Estimations,2,3,0,48.576923,3
89,The customer�s web browser shall never display a customer�s password.  It shall always be echoed with special characters representing typed characters.,Transaction Processing System,Security,Quality,64,Medium,insignificant,Schedule,4,5,0,59.115385,3
90,The customer�s web browser shall never display a customer�s credit card number after retrieving from the database.  It shall always be shown with just the last 4 digits of the credit card number.,Transaction Processing System,Security,Personal,54,Medium,high,Software Requirement,3,3,0,49.369231,3
91,The system�s back-end servers shall never display a customer�s password.  The customer�s password may be reset but never shown,Transaction Processing System,Security,Quality,33,Low,high,User,5,5,0,36.153846,2
92,The system�s back-end servers shall only be accessible to authenticated administrators.,Transaction Processing System,Security,Schedule,45,Medium,Low,Schedule,3,6,0,44.769231,3
93,The system�s back-end databases shall be encrypted.,Transaction Processing System,Security,Performance,32,Low,insignificant,Team,4,4,1,34.415385,2
94,The source code developed for this system shall be maintained in configuration management tool.,Transaction Processing System,Supportability,Performance,57,Medium,high,Project Complexity,5,2,1,53.476923,3
95,The system shall be built using a standard web page development tool that conforms to either IBM�s CUA 0.75 or Microsoft�s GUI 0.75,Transaction Processing System,Constraints,FunctionalValidity,23,Low,moderate,Estimations,4,4,1,27.838462,2
96,There are no memory requirements ,Transaction Processing System,Constraints,Schedule,56,Low,moderate,Team,5,5,1,54.653846,3
97,The computers must be equipped with web browsers such as Internet explorer.,Transaction Processing System,Constraints,Performance,32,Low,high,Project Complexity,2,3,1,32.515385,2
98,The product must be stored in such a way that allows the client easy access to it,Transaction Processing System,Constraints,Personal,66,High,insignificant,Organizational Requirements,2,2,1,57.269231,3
99,Response time for loading the product should take no longer than five minutes,Transaction Processing System,Constraints,Budget,45,Low,insignificant,Organizational Requirements,1,5,1,42.730769,3
100,A general knowledge of basic computer skills is required to use the product ,Transaction Processing System,Constraints,Quality,33,Medium,high,Software Requirement,2,3,1,33.292308,2
101,"There are many types of 0.25 as such supported by the Transaction Processing System software system namely User 0.25,Software 0.25 and Hardware 0.25",Transaction Processing System,Interfaces,Performance,55,Medium,Moderate,Team,3,6,1,53.030769,3
102,The protocol used shall be HTTP.,Transaction Processing System,Interfaces,Schedule,33,Low,insignificant,Project Complexity,1,3,0,31.176923,2
103,The Port number used will be 80.,Transaction Processing System,Interfaces,FunctionalValidity,75,Very High,high,Organizational Requirements,2,5,0,66.453846,4
104,"The user 0.25 for the software shall be compatible to any browser such as Internet Explorer, Mozilla or Netscape Navigator by which user can access to the system.",Transaction Processing System,Interfaces,Performance,55,Medium,moderate,Software Requirement,1,3,0,48.476923,3
105,"The user 0.25 shall be implemented using any tool or software package like Java Applet ,MS Front Page or EJB etc.",Transaction Processing System,Interfaces,Performance,66,High,Low,Software Requirement,2,5,0,66.453846,4
106,"Since the application must run over the internet all the hardware shall require to connect internet will be hardware 0.25 for the system. As for e.g. Modem, WAN, LAN or Ethernet Cross-Cable.",Transaction Processing System,Interfaces,Personal,71,High,moderate,User,3,4,0,62.653846,4
107,The Transaction Processing System system shall communicate with the Configurator to identify all the available components to configure the product.,Transaction Processing System,Interfaces,Budget,19,Very Low,Low,Software Requirement,2,6,1,24.253846,2
108,The Transaction Processing System shall communicate with the content manager to get the product specifications offerings and promotions.,Transaction Processing System,Interfaces,Budget,29,Very Low,Low,Software Requirement,4,4,0,31.176923,2
109,The Transaction Processing System system shall communicate with billPay system to identify available payment methods validate the payments and process payment.,Transaction Processing System,Interfaces,Quality,39,Very Low,insignificant,Estimations,3,5,0,38.692308,2
110,The Transaction Processing System system shall communicate to credit management system for handling financing options,Transaction Processing System,Interfaces,Quality,48,Low,moderate,Planning and Control,2,3,0,43.623077,3
111,The Transaction Processing System system shall communicate with CRM system to provide support.,Transaction Processing System,Interfaces,Performance,46,Low,Low,Software Requirement,4,6,0,45.861538,3
112,The Transaction Processing System system shall communicate with Sales system for order management.,Transaction Processing System,Interfaces,Performance,30,Low,high,User,1,2,?,30.530769,2
113,The Transaction Processing System system shall communicate with shipping system for tracking orders and updating of shipping methods.,Transaction Processing System,Interfaces,Performance,40,Low,moderate,Organizational Requirements,4,4,4,42.915385,3
114,The Transaction Processing System system shall communicate with external Tax system to calculate tax,Transaction Processing System,Interfaces,Performance,60,High,Low,Software Requirement,2,2,0,52.246154,3
115,The Transaction Processing System system shall communicate with export regulation system to validate export regulations,Transaction Processing System,Interfaces,Performance,39,Medium,moderate,Organizational Requirements,1,5,5,41.492308,3
116,The system shall be verisign like software which shall allow the users to complete secured transaction. This usually shall be the third party software system which is widely used for internet transaction.,Transaction Processing System,Interfaces,Performance,41,Medium,insignificant,User,4,3,0,39.415385,2
117,"Transaction Processing System should display the disclaimers, copyright, word mark trademark and product warranties of the Marvel electronics and home entertainment.",Transaction Processing System,Standards,Personal,47,High,high,Schedule,1,5,5,48,3
118,It shall be as per the industry standard.,Transaction Processing System,Standards,Personal,33,Low,moderate,Cost,2,4,0,33.076923,2
119,"The patient�s information such as date of birth, address and telephone number should be entered into computer system",Management Information System,Functional,Quality,39,Medium,Low,Estimations,4,5,3,43.384615,3
120,If a patient checks out the administrative staff shall delete his Personal Health Number from the system and the just evacuated bed is included in available-beds list,Management Information System,Functional,Quality,37,Medium,High,Planning and Control,2,4,1,38.2,2
121,The system generates reports List of detailed information regarding the patient who ha admitted in the hospital,Management Information System,Functional,Quality,36,Medium,Low,Team,4,5,3,40.961538,3
122,The system is also designed to be user-friendly,Management Information System,Functional,People,34,Low,moderate,Software Requirement,2,4,2,36.253846,2
123,It uses a Graphical User 0.25 (GUI),Management Information System,Functional,Project complexity,39,Low,Low,Cost,5,5,5,45.630769,3
124,Staff is responsible for patient�s check-in or notification of appropriate people,Management Information System,Functional,Planning & Control,32,Medium,moderate,Organizational Requirements,3,6,0,35.830769,2
125,Administrators are responsible for all of the scheduling and updating day/night employee shifts,Management Information System,Functional,Schedule,12,Low,moderate,Planning and Control,6,5,5,25.776923,2
126,The system must be delivered by January 1st 2011,Management Information System,Constraints,Team,45,Medium,high,Organizational Requirements,1,7,0,44.869231,3
127,The existing Telecommunication infrastructure is based on IEEE100802.3 0.75 and the system must conform to this standard using category 5 cables for networking,Management Information System,Constraints,Quality,55,Medium,insignificant,Organizational Requirements,4,8,4,58.153846,3
128,The system must be user-friendly ,Management Information System,Constraints,Project complexity,45,High,moderate,Software Requirement,4,6,2,48,3
129,It is assumed that one hundred IBM compatible computers will be available before the system is installed and tested,Management Information System,Constraints,Resource availability,23,Low,catastrophic,Planning and Control,1,3,2,26.430769,2
130,It is assumed that the Hospital will have enough trained staff to take care of the system,Management Information System,Constraints,Planning & Control,56,Medium,Low,Team,6,9,1,59.138462,3
131,"The HPIMS shall generate reports on patients about the following information: patient’s Phone Number, patient’s name, ward name bed number and the doctor’s name which was assigned",Management Information System,Functional,Schedule,12,Very Low,High,Software Requirement,7,7,5,28.176923,2
132,"The HPIMS shall generate reports on bed availability about the following information: ward name, bed number, occupied/unoccupied",Management Information System,Functional,Schedule,34,Very Low,high,Software Requirement,3,5,3,38.946154,2
133,"Each patient shall have the following mandatory information: first name, last name, phone number, personal health number, address, postal code, city, country, patient identification number.",Management Information System,Functional,Schedule,67,Very Low,Moderate,Organizational Requirements,5,4,0,62.615385,4
134,The HPIMS shall allow the user to update any of the patient�s information as described in SRS,Management Information System,Functional,User,56,Medium,catastrophic,Project Complexity,2,7,5,57.976923,3
135,The system shall use the MySQL Database which is open source and free,Management Information System,Constraints,Project complexity,89,High,Moderate,Software Requirement,2,6,0,86.461538,5
136,The Development environment shall be Windows ,Management Information System,Constraints,Project complexity,99,High,moderate,Software Requirement,2,6,0,86.461538,5
137,The system shall be a Web-based application,Management Information System,Constraints,Requirement,67,High,moderate,Software Requirement,1,9,0,63.330769,4
138,The system requires the patient to identify himself /herself using PHN,Management Information System,Security,Project complexity,88,Medium,moderate,Project Complexity,1,7,0,78.076923,4
139,Any user who uses the system shall have a Logon ID and Password,Management Information System,Security,Project complexity,97,High,high,User,4,8,3,90.323077,5
140,"Any modification  (Insert, Delete, Update) for the Database shall be synchronized and done only by the administrator in the ward",Management Information System,Security,Planning & Control,48,Low,moderate,User,4,9,3,53.023077,3
141,Front Desk staff shall be able to view all information in HPIMS add new patients to HPIMS but shall not be able to modify any information in it,Management Information System,Security,Project complexity,34,Medium,Low,User,3,10,3,42.207692,3
142,Administrators shall be able to view and modify all information in HPIMS,Management Information System,Security,Project complexity,62,Medium,catastrophic,User,3,7,1,60.353846,4
143,The system shall give responses in 1 second after checking the patient�s information,Management Information System,Performance,Project complexity,53,High,catastrophic,Organizational Requirements,5,4,1,52.930769,3
144,The System must support 1000 people at a time,Management Information System,Performance,Project complexity,23,Medium,moderate,Organizational Requirements,7,3,1,30.246154,2
145,The user-0.25 screen shall respond within 5 seconds,Management Information System,Performance,Project complexity,29,High,insignificant,Organizational Requirements,8,4,1,36.169231,2
146,The systems must conform to the Microsoft Accessibility guidelines,Management Information System,Performance,Project complexity,82,Low,Low,Organizational Requirements,6,7,1,77.630769,4
147,The system shall provide the capability to back-up the Data,Management Information System,Performance,Project complexity,94,High,moderate,Organizational Requirements,5,5,1,84.976923,5
148,The system shall keep a log of all the errors,Management Information System,Performance,Requirement,10,Very Low,high,Software Requirement,4,8,1,21.715385,2
149,The system shall be available all the time,Management Information System,Performance,Time Dimension,33,High,high,Organizational Requirements,2,9,0,38.230769,2
150,"Students are directed to a Main page that has links to the other systems. (Course Registration, Course time-Table, Student Accounts and Records)",Management Information System,Functional,User,25,Medium,catastrophic,User,1,4,1,27.684615,2
151,The Course Registration page will provide course information and allow the user to register for course as well as view his time-table,Management Information System,Functional,Requirement,77,Medium,Low,User,2,3,0,66.961538,4
152,The Course time-Table page will provide general course information without any need of registration,Management Information System,Functional,Project complexity,38,Medium,moderate,Planning and Control,4,7,1,42.792308,3
153,The Student Accounts page will display a student�s personal and tuition (monetary) information. It will also contain access to their Netlink account,Management Information System,Functional,User,61,Low,moderate,Organizational Requirements,3,6,1,58.269231,3
154,The Records page will display information regarding the student�s academic progress at UVic and allow interaction with the Records Department at UVic,Management Information System,Functional,Requirement,34,Very Low,Low,User,3,5,1,36.769231,2
155,The Employee is directed to a page that allows them to process Student Record related requests,Management Information System,Functional,Organizational Environment,23,Low,moderate,Planning and Control,6,6,0,31.092308,2
156,We assume that everyone that uses the system has access to the internet at speeds of 56k or above,Management Information System,Constraints,Resource availability,13,Very Low,Low,Estimations,7,5,1,23.7,2
157,The system is depended upon by many users therefore it should be able to deal with thousands of users logging onto the system at any one time,Management Information System,Constraints,Project complexity,66,Medium,moderate,User,9,5,0,65.323077,4
158,The system must allow students to request official transcripts from WebView.  All requests will be sent and managed by the university records database,Management Information System,Functional,Project complexity,44,Medium,Low,User,2,6,0,43.938462,3
159,"The system contains the properties of WebView, WebReg, WebTT and PinChg whole System will be consolidated into one central system while maintaining the portability of each system",Management Information System,Functional,Project complexity,55,High,moderate,Organizational Requirements,1,6,1,52.9,3
160,System is specifically intended for Records Employee. ,Management Information System,Functional,People,36,Low,high,Organizational Requirements,2,3,1,36.307692,2
161,It will have a separate log in page where Records Employee�s can log in with their Netlink id and password. ,Management Information System,Functional,Requirement,73,Very Low,moderate,Organizational Requirements,4,3,1,66.384615,4
162,This connects them with the transcript database. From there they will be able to fulfil transcript requests,Management Information System,Functional,Project complexity,26,Medium,High,Organizational Requirements,6,5,0,62.653846,4
163,The system will display account outstanding balances. ,Management Information System,Functional,Resource availability,19,Low,moderate,Organizational Requirements,4,4,1,25.738462,2
164,An account balance will be placed on the 0.25 indicating the amount owned until payment is fulfilled.,Management Information System,Functional,Cost,48,Low,moderate,Software Requirement,5,8,0,51.176923,3
165,There will also be another function within the system that will provide a detailed breakdown of all fees charged by the University,Management Information System,Functional,Project complexity,34,Medium,Low,Cost,3,9,1,40.361538,3
166,The system checks if the entered student number and password are valid,Management Information System,Usability,Project complexity,87,Very High,high,User,1,7,0,77.438462,4
167,The system authorizes the student to access their record information if they entered valid student number and password,Management Information System,Usability,Project complexity,67,Medium,moderate,Software Requirement,1,6,1,62,4
168,System returns the user to the log in page if the student number or password is invalid,Management Information System,Usability,Project complexity,98,High,moderate,Software Requirement,3,7,0,87.5,5
169,System provides user with options to access different records and do different 0.9ities with the system if the student number and password are correct,Management Information System,Usability,User,27,Very Low,Low,Project Complexity,4,6,0,31.869231,2
170,The system will have 0.9ity of producing a more professionally looking unofficial transcript that can be obtained and used when applying for jobs (mostly for coop students),Management Information System,Usability,Project complexity,12,Low,moderate,Organizational Requirements,7,3,0,21.053846,2
171,"The new system is a combination of old systems namely WebReg, WebView, WebTT and PinChg which required separate log in accounts.",Management Information System,Usability,Requirement,65,Medium,moderate,Organizational Requirements,6,5,0,62.653846,4
172,The new system should function such that when (student) signs into it provides them with all the information combined for the old systems without having to re-log in.,Management Information System,Usability,Requirement,56,Low,Low,Organizational Requirements,5,7,0,56.192308,3
173,The new system will also allow records employees to log into the system view and process transcript requests,Management Information System,Usability,Project complexity,49,Medium,Moderate,User,8,3,0,50.207692,3
174,The new system will provide a report that clearly shows what courses the student have completed and what courses they still need to take. ,Management Information System,Usability,Project complexity,36,Low,high,Organizational Requirements,8,4,1,41.938462,3
175,This 0.9ity will be important in saving students time from looking at the whole timetable of their course,Management Information System,Usability,User,39,Low,Low,Project Complexity,4,5,1,41.176923,3
176,The new system will be accessible in any computer that is connected to the internet,Management Information System,Usability,Project complexity,24,Medium,high,Organizational Requirements,1,6,1,28.976923,2
177,The new system will have an 0.25 that is very easy to use and does not require training to use.,Management Information System,Usability,Design,89,High,catastrophic,Project Complexity,2,8,1,81.484615,5
178, It should combine some of the features of the old system so that users (students) who are familiar with the old system will not have trouble adjusting to the new system,Management Information System,Usability,User,62,Medium,high,Project Complexity,3,9,1,61.6,4
179,The new system should also have an 0.25 that can be useful to records employees for them to easily process transcript requests.,Management Information System,Usability,Project complexity,45,Medium,moderate,User,5,9,0,49.438462,3
180,Some of the old records system features will be included in the new system to help records employees to adjust easily to the new system,Management Information System,Usability,Design,69,Low,moderate,Organizational Requirements,2,4,0,61.661538,4
181,The new system should have a tool to help students produce their timetable instead of them spending much time looking at the timetable and manually planning it,Management Information System,Usability,Project complexity,86,High,moderate,User,5,3,0,76.476923,4
182,This 0.9ity does not replace the old system of planning the timetable manually but it is an additional feature that can be used,Management Information System,Usability,Cost,92,High,high,Organizational Requirements,7,4,0,83.692308,5
183,In the event of a system crash during a transaction the current transaction will either completed or not completed. This will be handled by an already existing database,Management Information System,Security,Requirement,34,Low,Moderate,Organizational Requirements,1,6,0,35.5,2
184,The system must effectively recover from a crash within five seconds.  For the system to effectively recover it must be able to restart a sessions with the user within the time limit,Management Information System,Security,Time Dimension,54,Low,Low,Project Complexity,1,2,0,47.830769,3
185,The system must be able to run without interruption and able to handle thousands of concurrent requests,Management Information System,Design,Design,11,Low,moderate,User,3,3,0,16.7,1
186,The system must be able to effectively recover from crashes and other problems as it is handling sensitive data. It should be designed in such a way that it can run on distributed systems,Management Information System,Performance,Design,43,Medium,Moderate,User,2,1,0,39.123077,2
187,When brought up in the interview the response from UVic web systems was Basically we want the system to handle errors gracefully like crashes,Management Information System,Performance,Project complexity,74,High,moderate,Planning and Control,4,1,0,64.984615,4
188,The developed system will have to deal with large quantities of data and a large number of users accessing the data at once,Management Information System,Performance,Design,8,Low,high,Organizational Requirements,4,3,0,15.469231,1
189,The required system should be available on any system or workstation with a minimum requirement of 56k internet access,Management Information System,Constraints,Planning & Control,14,Low,Low,Team,2,4,0,19.023077,1
190,The new system should be able to work with the existing system used by the records system. This should allow the records office to receive transcript requests,Management Information System,Constraints,Organizational Environment,38,Very Low,moderate,User,4,6,0,40.469231,3
191,The user 0.25 will have a single access portal where the user can sign-in and have access to the entire system,Management Information System,Interfaces,Project complexity,84,High,catastrophic,User,1,9,0,76.315385,4
